2023-03-15 22:03:28.947454 [INFO   ] [APP] application started
2023-03-15 22:03:28.947477 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-15 22:03:28.947558 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-15 22:03:28.947647 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-15 22:03:28.947669 [INFO   ] [BASE] logging in with teamname='TraderOne' and secret='secret'
2023-03-15 22:03:32.125235 [INFO   ] [AUTO] Hedge Buying Order1 for price 146700 vol 48 diff is 300 event 1 position 0
2023-03-15 22:03:32.441595 [INFO   ] [AUTO] Hedge Buying Order2 for price 146800 vol 32 diff is 200 event 2 position 0
2023-03-15 22:03:32.612168 [INFO   ] [AUTO] Hedge Buying Order3 for price 146900 vol 16 diff is 100 event 3 position 0
2023-03-15 22:03:33.390326 [INFO   ] [AUTO] order 3 filled for 16 lots at $146900 cents 2 events
2023-03-15 22:03:33.390351 [INFO   ] [AUTO] Hedging 16 SELLLL
2023-03-15 22:03:33.390378 [INFO   ] [AUTO] Current Position is 16 to buy 80 to sell 0
2023-03-15 22:03:33.390420 [INFO   ] [AUTO] order 2 filled for 32 lots at $146800 cents 3 events
2023-03-15 22:03:33.390425 [INFO   ] [AUTO] Hedging 32 SELLLL
2023-03-15 22:03:33.390438 [INFO   ] [AUTO] Current Position is 48 to buy 48 to sell 0
2023-03-15 22:03:33.390489 [INFO   ] [AUTO] order 1 filled for 23 lots at $146700 cents 4 events
2023-03-15 22:03:33.390494 [INFO   ] [AUTO] Hedging 23 SELLLL
2023-03-15 22:03:33.390504 [INFO   ] [AUTO] Current Position is 71 to buy 25 to sell 0
2023-03-15 22:03:33.876738 [INFO   ] [AUTO] Hedge Buying Order7 for price 146400 vol 4 diff is 300 event 5 position 71
2023-03-15 22:03:34.161417 [INFO   ] [AUTO] Hedge Buying Order8 for price 146500 vol 25 diff is 400 event 6 position 71
2023-03-15 22:03:34.397886 [INFO   ] [AUTO] Hedge Selling Order9 for price 147100 vol 16 diff is 100 event 7 position 71
2023-03-15 22:03:34.548527 [INFO   ] [AUTO] order 8 filled for 17 lots at $146500 cents 7 events
2023-03-15 22:03:34.548553 [INFO   ] [AUTO] Hedging 17 SELLLL
2023-03-15 22:03:34.548580 [INFO   ] [AUTO] Current Position is 88 to buy 12 to sell 16
2023-03-15 22:03:35.395788 [INFO   ] [AUTO] order 8 filled for 8 lots at $146500 cents 3 events
2023-03-15 22:03:35.395816 [INFO   ] [AUTO] Hedging 8 SELLLL
2023-03-15 22:03:35.395836 [INFO   ] [AUTO] Current Position is 96 to buy 4 to sell 16
2023-03-15 22:03:35.894378 [INFO   ] [AUTO] Hedge Buying Order12 for price 146500 vol 4 diff is 200 event 3 position 96
2023-03-15 22:03:36.623055 [INFO   ] [AUTO] Hedge Selling Order13 for price 147100 vol 16 diff is 100 event 3 position 96
2023-03-15 22:03:36.950205 [INFO   ] [AUTO] Hedge Selling Order14 for price 147000 vol 16 diff is 100 event 2 position 96
2023-03-15 22:03:36.950232 [INFO   ] [AUTO] Paying the fee
2023-03-15 22:03:36.953451 [INFO   ] [AUTO] order 14 filled for 16 lots at $147000 cents 2 events
2023-03-15 22:03:36.953462 [INFO   ] [AUTO] Hedging -16 BUYYYY
2023-03-15 22:03:36.953475 [INFO   ] [AUTO] Current Position is 80 to buy 4 to sell 16
2023-03-15 22:03:37.122892 [INFO   ] [AUTO] Hedge Selling Order16 for price 147000 vol 32 diff is 200 event 4 position 80
2023-03-15 22:03:37.122925 [INFO   ] [AUTO] Paying the fee
2023-03-15 22:03:37.126516 [INFO   ] [AUTO] order 16 filled for 32 lots at $147000 cents 4 events
2023-03-15 22:03:37.126531 [INFO   ] [AUTO] Hedging -32 BUYYYY
2023-03-15 22:03:37.126548 [INFO   ] [AUTO] Current Position is 48 to buy 4 to sell 16
2023-03-15 22:03:37.433435 [INFO   ] [AUTO] Hedge Selling Order18 for price 147000 vol 48 diff is 300 event 6 position 48
2023-03-15 22:03:37.433462 [INFO   ] [AUTO] Paying the fee
2023-03-15 22:03:37.434193 [INFO   ] [AUTO] order 18 filled for 48 lots at $147000 cents 7 events
2023-03-15 22:03:37.434200 [INFO   ] [AUTO] Hedging -48 BUYYYY
2023-03-15 22:03:37.434211 [INFO   ] [AUTO] Current Position is 0 to buy 4 to sell 16
2023-03-15 22:03:37.489697 [INFO   ] [AUTO] order 13 filled for 16 lots at $147100 cents 8 events
2023-03-15 22:03:37.489726 [INFO   ] [AUTO] Hedging -16 BUYYYY
2023-03-15 22:03:37.489756 [INFO   ] [AUTO] Current Position is -16 to buy 4 to sell 0
2023-03-15 22:03:37.676592 [INFO   ] [AUTO] Hedge Selling Order21 for price 147100 vol 32 diff is 200 event 9 position -16
2023-03-15 22:03:39.185097 [INFO   ] [AUTO] Hedge Buying Order22 for price 146500 vol 48 diff is 300 event 1 position -16
2023-03-15 22:03:39.399220 [INFO   ] [AUTO] Hedge Buying Order23 for price 146700 vol 16 diff is 100 event 3 position -16
2023-03-15 22:03:39.399244 [INFO   ] [AUTO] Hedge Selling Order24 for price 147100 vol 16 diff is 100 event 4 position -16
2023-03-15 22:03:39.642167 [INFO   ] [AUTO] Hedge Selling Order25 for price 147000 vol 16 diff is 100 event 5 position -16
2023-03-15 22:03:39.805692 [INFO   ] [AUTO] order 23 filled for 16 lots at $146700 cents 5 events
2023-03-15 22:03:39.805718 [INFO   ] [AUTO] Hedging 16 SELLLL
2023-03-15 22:03:39.805745 [INFO   ] [AUTO] Current Position is 0 to buy 48 to sell 32
2023-03-15 22:03:39.805779 [INFO   ] [AUTO] order 22 filled for 48 lots at $146500 cents 6 events
2023-03-15 22:03:39.805782 [INFO   ] [AUTO] Hedging 48 SELLLL
2023-03-15 22:03:39.805795 [INFO   ] [AUTO] Current Position is 48 to buy 0 to sell 32
2023-03-15 22:03:39.938443 [INFO   ] [AUTO] Hedge Buying Order28 for price 146300 vol 52 diff is 400 event 8 position 48
2023-03-15 22:03:41.875561 [INFO   ] [AUTO] Hedge Buying Order29 for price 146700 vol 48 diff is 300 event 4 position 48
2023-03-15 22:03:42.134141 [INFO   ] [AUTO] Hedge Buying Order30 for price 146800 vol 4 diff is 200 event 4 position 48
