Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.284449,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.515209,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.788474,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
1.027332,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.220002,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.536366,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
1.706931,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.040322,TraderOne,Tick,0,0,0,0,147600,147100,0,0,0,OK
2.243586,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.4577,TraderOne,Tick,0,0,0,0,147600,146900,0,0,0,OK
2.791814,TraderOne,Tick,71,0,71,-71,146700,146900,-1042,1742,-12458,OK
2.971519,TraderOne,Tick,71,0,71,-71,146700,146900,-1042,1742,-12458,OK
3.256161,TraderOne,Tick,71,0,71,-71,146700,146900,-1042,1742,-12458,OK
3.492638,TraderOne,Tick,71,0,71,-71,147500,146900,-1042,1742,15942,OK
3.749736,TraderOne,Tick,88,0,88,-88,146500,146900,-1291,7091,-10509,OK
3.989386,TraderOne,Tick,88,0,88,-88,146500,146900,-1291,7091,-10509,OK
4.204139,TraderOne,Tick,88,0,88,-88,146500,146900,-1291,7091,-10509,OK
4.451824,TraderOne,Tick,88,0,88,-88,146500,146900,-1291,7091,-10509,OK
4.706894,TraderOne,Tick,96,0,96,-96,146300,146900,-1408,9608,-9592,OK
4.989084,TraderOne,Tick,96,0,96,-96,146300,146900,-1408,9608,-9592,OK
5.279028,TraderOne,Tick,96,0,96,-96,146300,146800,-1408,9608,-9592,OK
5.548199,TraderOne,Tick,96,0,96,-96,146300,146800,-1408,9608,-9592,OK
5.717726,TraderOne,Tick,96,0,96,-96,146300,146800,-1408,9608,-9592,OK
6.04495,TraderOne,Tick,96,0,96,-96,146300,146800,-1408,9608,-9592,OK
6.217648,TraderOne,Tick,96,16,80,-80,147000,146800,-938,10738,26738,OK
